ID,x,y,Building,Level
221,0.2533625,0.42585,1,0
222,0.25955,0.45955,1,0
223,0.2337,0.4730375,1,0
224,0.2949375,0.436525,1,0
225,0.2769625,0.4303375,1,0
226,0.2814625,0.4061875,1,0
227,0.2983125,0.3910125,1,0
228,0.29775,0.40225,1,0
229,0.30505,0.401125,1,0
230,0.301125,0.40955,1,0
231,0.3140375,0.4275375,1,0
232,0.3129125,0.467425,1,0
233,0.3,0.47135,1,0
234,0.32415,0.4039375,1,0
235,0.34045,0.434275,1,0
236,0.3235875,0.4483125,1,0
237,0.3662875,0.40675,1,0
238,0.36235,0.451125,1,0
239,0.36685,0.467425,1,0
240,0.3837,0.496075,1,0
241,0.36685,0.47585,1,0
242,0.3803375,0.3679875,1,0
243,0.384825,0.4382125,1,0
244,0.4117875,0.4101125,1,0
245,0.420775,0.4354,1,0
246,0.4331375,0.4061875,1,0
247,0.4544875,0.439325,1,0
248,0.47865,0.42865,1,0
249,0.453925,0.4179875,1,0
250,0.4999875,0.405625,1,0
251,0.4999875,0.432025,1,0
252,0.525275,0.426975,1,0
253,0.5601,0.4275375,1,0
254,0.57865,0.4370875,1,0
255,0.587075,0.4179875,1,0
256,0.6151625,0.429775,1,0
257,0.594375,0.47135,1,0
258,0.613475,0.47135,1,0
259,0.6337,0.4741625,1,0
260,0.608425,0.493825,1,0
261,0.608425,0.520225,1,0
262,0.608425,0.55,1,0
263,0.6331375,0.539325,1,0
264,0.608425,0.577525,1,0
265,0.6106625,0.5971875,1,0
266,0.5915625,0.5971875,1,0
267,0.565725,0.6050625,1,0
268,0.54325,0.5876375,1,0
269,0.5690875,0.5859625,1,0
270,0.5073,0.5848375,1,0
271,0.4994375,0.60955,1,0
272,0.4882,0.5876375,1,0
273,0.4589875,0.5898875,1,0
274,0.4331375,0.6039375,1,0
275,0.4556125,0.565175,1,0
276,0.4376375,0.5578625,1,0
277,0.4533625,0.5376375,1,0
278,0.42865,0.5382,1,0
279,0.44775,0.491575,1,0
280,0.4651625,0.5078625,1,0
281,0.4342625,0.47135,1,0
282,0.44775,0.4561875,1,0
283,0.477525,0.515175,1,0
284,0.5258375,0.5657375,1,0
285,0.580325,0.5252875,1,0
286,0.4960625,0.4696625,1,0
287,0.5028,0.472475,1,0
288,0.5140375,0.4691,1,0
289,0.5224625,0.4837125,1,0
290,0.5455,0.4792125,1,0
291,0.5662875,0.476975,1,0
292,0.563475,0.4870875,1,0
293,0.5662875,0.5050625,1,0
